review_beauty_12_4	st02	the smell and color are different	tuoksu ja väri ovat erilaisia 
review_beauty_12_4	st02	Is there  any difference between the one typed with A22 and the one with A82?	Onko A22 ja A82 merkittyjen tuotteiden välillä mitään eroa? 
review_beauty_12_4	st02	I don't know why, the one I bought here was totally different with the one I bought in Hk in smell and color.	En tiedä miksi, mutta se, minkä ostin täältä oli täysin erilainen tuoksultaan ja väriltään kuin se, minkä ostin Hong Kongista. 
review_beauty_12_4	st02	I'm not sure if this is true.	En ole varma, pitääkö tämä paikkansa. 
review_beauty_14_5	st02	An excellent product	Erinomainen tuote 
review_beauty_14_5	st02	This stuff is amazing.An excellent product.	Tämä aine on ihanaa. Erinomainen tuote. 
review_beauty_14_5	st02	Will keep your eye-liner and mascara on all day and night...and if you party too hard and fall asleep in your make-up..you can guarantee it will still be there in the morning!Ideal for dotting on your eyes and fairly effective at keeping on lipstick.	Saa eyelinerisi ja ripsivärisi kestämään koko päivän ja yön... ja jos juhlit liian rankasti ja nukahdat meikit naamassa.. voit olla varma, että ne ovat naamassa vielä aamullakin! Ideaalia silmien viimeistelyyn ja melko tehokas lisäämään huulipunan kestoa. 
review_beauty_17_5	st03	I recommend you to try guys. I love all Macely line.	﻿Suosittelen, että kokeilette. Rakastan kaikkia Macelyn tuotteita. 
review_beauty_17_5	st03	I usually don't bother to write reviews for products, but this one I simply could not pass up.	En yleensä viitsi kirjoittaa tuotearvosteluja, mutta tätä en vain pystynyt ohittamaan. 
review_beauty_17_5	st03	I have combination skin that gets really dry and really oily in some parts.I love this product.	Minulla on sekaiho, joka kuivuu ja rasvoittuu paikoittain todella paljon.Rakastan tätä tuotetta. 
review_beauty_17_5	st03	I recommend you to try guys.	Suosittelen, että kokeilette. 
review_beauty_17_5	st03	I love all Macely line.	Rakastan kaikkia Macelyn tuotteita. 
review_beauty_18_5	st03	I have found my holy grail of skin cosmetics	﻿Olen löytänyt ihonhoitotuotteiden graalin maljani 
review_beauty_18_5	st03	I am a self confessed beauty product junkie.	Tunnustan itseni kauneustuotenarkkariksi. 
review_beauty_18_5	st03	Having tried dozens, if not hundreds of foundations, tinted moisturizers, concealers, etc over the years, I can finally at 30 years old stop the search, because I have found my holy grail of skin cosmetics in Macely	Olen vuosien saatossa kokeillut kymmeniä, ellen satoja meikkivoiteita, sävytettyjä kosteusvoiteita, peitevoiteita jne. ja voin vihdoin 30 vuotiaana lakata etsimästä, koska olen löytänyt ihonhoitotuotteiden graalin maljani Macelyltä 
review_beauty_21_5	st04	This is the product I had been seeking.	﻿Tätä tuotetta olinkin etsinyt. 
review_beauty_21_5	st04	This is the product I had been seeking.	Tätä tuotetta olinkin etsinyt. 
